¿œ¿⁄,PM-10
2019-01-27,46
2019-01-28,70
2019-01-29,74
2019-01-30,68
2019-01-31,37
2019-02-01,28
2019-02-02,57
2019-02-03,36
2019-02-04,88
2019-02-05,80
2019-02-06,65
2019-02-07,56
2019-02-08,19
2019-02-09,27
2019-02-10,25
2019-02-11,27
2019-02-12,49
2019-02-13,65
2019-02-14,56
2019-02-15,51
2019-02-16,45
2019-02-17,39
2019-02-18,47
2019-02-19,23
2019-02-20,42
2019-02-21,72
2019-02-22,72
2019-02-23,55
2019-02-24,50
2019-02-25,59
2019-02-26,60
2019-02-27,49
2019-02-28,52
2019-03-01,83
2019-03-02,78
2019-03-03,46
2019-03-04,51
2019-03-05,105
2019-03-06,84
2019-03-07,86
2019-03-08,63
2019-03-09,49
2019-03-10,19
2019-03-11,33
2019-03-12,54
2019-03-13,35
2019-03-14,46
2019-03-15,44
2019-03-16,40
2019-03-17,41
2019-03-18,47
2019-03-19,56
2019-03-20,68
2019-03-21,27
2019-03-22,37
2019-03-23,25
2019-03-24,29
2019-03-25,59
2019-03-26,61
2019-03-27,61
2019-03-28,63
2019-03-29,66
2019-03-30,44
2019-03-31,28
2019-04-01,35
2019-04-02,29
2019-04-03,36
2019-04-04,50
2019-04-05,76
2019-04-06,52
2019-04-07,73
2019-04-08,60
2019-04-09,29
2019-04-10,7
2019-04-11,20
2019-04-12,37
2019-04-13,47
2019-04-14,37
2019-04-15,54
2019-04-16,51
2019-04-17,
2019-04-18,
2019-04-19,56
2019-04-20,66
2019-04-21,63
2019-04-22,69
2019-04-23,51
2019-04-24,36
2019-04-25,67
2019-04-26,32
2019-04-27,18
2019-04-28,26
2019-04-29,19
2019-04-30,22
2019-05-01,63
2019-05-02,78
2019-05-03,57
2019-05-04,65
2019-05-05,66
2019-05-06,54
2019-05-07,45
2019-05-08,52
2019-05-09,52
2019-05-10,55
2019-05-11,56
2019-05-12,49
2019-05-13,55
2019-05-14,50
2019-05-15,45
2019-05-16,42
2019-05-17,46
2019-05-18,19
2019-05-19,30
2019-05-20,34
2019-05-21,36
2019-05-22,65
2019-05-23,70
2019-05-24,79
2019-05-25,66
2019-05-26,46
2019-05-27,24
2019-05-28,19
2019-05-29,35
2019-05-30,
2019-05-31,
2019-06-01,43
2019-06-02,46
2019-06-03,
2019-06-04,58
2019-06-05,59
2019-06-06,65
2019-06-07,16
2019-06-08,28
2019-06-09,45
2019-06-10,26
2019-06-11,28
2019-06-12,44
2019-06-13,41
2019-06-14,44
2019-06-15,36
2019-06-16,35
2019-06-17,38
2019-06-18,46
2019-06-19,60
2019-06-20,59
2019-06-21,54
2019-06-22,48
2019-06-23,21
2019-06-24,47
2019-06-25,46
2019-06-26,29
