¿œ¿⁄,PM-10
2018-01-27,39
2018-01-28,38
2018-01-29,37
2018-01-30,48
2018-01-31,63
2018-02-01,48
2018-02-02,44
2018-02-03,40
2018-02-04,20
2018-02-05,28
2018-02-06,23
2018-02-07,31
2018-02-08,50
2018-02-09,60
2018-02-10,74
2018-02-11,42
2018-02-12,37
2018-02-13,48
2018-02-14,69
2018-02-15,68
2018-02-16,34
2018-02-17,26
2018-02-18,30
2018-02-19,76
2018-02-20,80
2018-02-21,33
2018-02-22,53
2018-02-23,89
2018-02-24,93
2018-02-25,74
2018-02-26,60
2018-02-27,69
2018-02-28,46
2018-03-01,25
2018-03-02,42
2018-03-03,55
2018-03-04,49
2018-03-05,14
2018-03-06,30
2018-03-07,31
2018-03-08,11
2018-03-09,47
2018-03-10,48
2018-03-11,66
2018-03-12,87
2018-03-13,51
2018-03-14,37
2018-03-15,28
2018-03-16,23
2018-03-17,31
2018-03-18,39
2018-03-19,11
2018-03-20,21
2018-03-21,6
2018-03-22,20
2018-03-23,44
2018-03-24,84
2018-03-25,95
2018-03-26,70
2018-03-27,70
2018-03-28,59
2018-03-29,54
2018-03-30,47
2018-03-31,47
2018-04-01,63
2018-04-02,42
2018-04-03,28
2018-04-04,16
2018-04-05,15
2018-04-06,41
2018-04-07,39
2018-04-08,45
2018-04-09,49
2018-04-10,30
2018-04-11,25
2018-04-12,31
2018-04-13,31
2018-04-14,17
2018-04-15,89
2018-04-16,50
2018-04-17,115
2018-04-18,98
2018-04-19,70
2018-04-20,86
2018-04-21,70
2018-04-22,66
2018-04-23,27
2018-04-24,12
2018-04-25,37
2018-04-26,50
2018-04-27,60
2018-04-28,73
2018-04-29,74
2018-04-30,76
2018-05-01,72
2018-05-02,42
2018-05-03,50
2018-05-04,45
2018-05-05,52
2018-05-06,28
2018-05-07,21
2018-05-08,31
2018-05-09,33
2018-05-10,50
2018-05-11,48
2018-05-12,43
2018-05-13,26
2018-05-14,66
2018-05-15,74
2018-05-16,32
2018-05-17,
2018-05-18,
2018-05-19,
2018-05-20,20
2018-05-21,29
2018-05-22,37
2018-05-23,42
2018-05-24,78
2018-05-25,81
2018-05-26,59
2018-05-27,58
2018-05-28,55
2018-05-29,46
2018-05-30,64
2018-05-31,45
2018-06-01,52
2018-06-02,60
2018-06-03,70
2018-06-04,60
2018-06-05,50
2018-06-06,62
2018-06-07,76
2018-06-08,81
2018-06-09,69
2018-06-10,30
2018-06-11,22
2018-06-12,42
2018-06-13,55
2018-06-14,45
2018-06-15,35
2018-06-16,33
2018-06-17,38
2018-06-18,45
2018-06-19,60
2018-06-20,45
2018-06-21,52
2018-06-22,49
2018-06-23,65
2018-06-24,66
2018-06-25,82
2018-06-26,53
2018-06-27,31
2018-06-28,26
2018-06-29,43
2018-06-30,25
2018-07-01,23
2018-07-02,32
2018-07-03,19
2018-07-04,31
2018-07-05,33
2018-07-06,17
2018-07-07,18
2018-07-08,23
2018-07-09,15
2018-07-10,38
2018-07-11,40
2018-07-12,41
2018-07-13,42
2018-07-14,43
2018-07-15,41
2018-07-16,58
2018-07-17,64
2018-07-18,58
2018-07-19,69
2018-07-20,78
2018-07-21,53
2018-07-22,32
2018-07-23,33
2018-07-24,35
2018-07-25,39
2018-07-26,44
2018-07-27,56
2018-07-28,59
2018-07-29,31
2018-07-30,26
2018-07-31,31
2018-08-01,30
2018-08-02,33
2018-08-03,36
2018-08-04,42
2018-08-05,30
2018-08-06,37
2018-08-07,32
2018-08-08,38
2018-08-09,51
2018-08-10,35
2018-08-11,28
2018-08-12,33
2018-08-13,35
2018-08-14,33
2018-08-15,33
2018-08-16,24
2018-08-17,29
2018-08-18,33
2018-08-19,35
2018-08-20,41
2018-08-21,39
2018-08-22,38
2018-08-23,24
2018-08-24,22
2018-08-25,38
2018-08-26,18
2018-08-27,23
2018-08-28,34
2018-08-29,31
2018-08-30,27
2018-08-31,28
2018-09-01,26
2018-09-02,28
2018-09-03,27
2018-09-04,24
2018-09-05,38
2018-09-06,
2018-09-07,40
2018-09-08,30
2018-09-09,27
2018-09-10,24
2018-09-11,24
2018-09-12,30
2018-09-13,29
2018-09-14,20
2018-09-15,23
2018-09-16,38
2018-09-17,47
2018-09-18,66
2018-09-19,59
2018-09-20,
2018-09-21,
2018-09-22,30
2018-09-23,43
2018-09-24,30
